After running magCalSliders.py

bias = [280, -5, -120]
scale = [1.0, 1.0, 1.0]

MPU set up:
	Accelerometer: 0x0 16384.0
	Gyroscope: 0x0 131.0

MAG set up:
	Magnetometer: 0x16 1.499

Magnetometer calibration. Wave and rotate device in a figure eight until notified.

91,-103,-121
93,-99,-129
93,-111,-125
82,-102,-124
84,-102,-122
89,-104,-132
82,-100,-124
89,-103,-115
88,-104,-122
93,-99,-119
91,-95,-125
87,-99,-131
90,-100,-122
99,-103,-125
91,-107,-129
97,-107,-119
93,-99,-121
97,-103,-129
86,-108,-128
86,-106,-126
99,-101,-127
77,-115,-123
92,-104,-118
87,-101,-131
92,-104,-126
87,-109,-117
95,-99,-117
87,-105,-125
92,-102,-114
87,-99,-133
86,-108,-120
90,-102,-126
82,-110,-130
83,-107,-127
86,-100,-124
82,-96,-124
96,-112,-120
89,-101,-121
83,-105,-129
87,-91,-123
89,-107,-125
83,-95,-127
91,-95,-129
86,-106,-126
93,-107,-131
88,-104,-118
82,-106,-134
91,-99,-131
87,-103,-133
91,-101,-121
85,-105,-131
92,-104,-141
94,-102,-130
90,-112,-120
91,-103,-125
86,-110,-128
93,-104,-128
92,-106,-120
82,-98,-120
87,-101,-119
86,-108,-126
87,-98,-122
89,-101,-127
89,-103,-127
85,-101,-127
88,-106,-130
88,-102,-114
84,-108,-121
88,-110,-130
97,-101,-129
94,-100,-128
90,-98,-124
85,-107,-121
90,-106,-122
86,-100,-122
89,-107,-131
87,-105,-119
87,-111,-119
83,-99,-129
84,-100,-122
92,-100,-128
90,-96,-122
89,-101,-127
81,-103,-127
93,-103,-125
94,-108,-120
91,-103,-123
93,-111,-123
84,-108,-124
88,-106,-128
88,-110,-126
90,-104,-126
90,-102,-118
88,-114,-116
93,-99,-125
89,-103,-121
83,-103,-123
86,-108,-122
80,-100,-122
88,-102,-118
86,-104,-126
89,-103,-117
90,-104,-128
95,-101,-133
84,-100,-120
97,-105,-127
90,-112,-122
86,-96,-122
88,-102,-122
83,-99,-125
87,-107,-121
91,-105,-121
90,-100,-122
93,-99,-121
96,-110,-122
84,-106,-124
92,-102,-126
91,-106,-118
92,-106,-120
92,-112,-128
89,-105,-121
91,-107,-115
95,-99,-119
93,-99,-119
89,-103,-121
89,-91,-125
96,-104,-134
98,-100,-124
87,-97,-131
86,-104,-132
90,-98,-126
82,-106,-120
88,-96,-128
89,-105,-119
92,-104,-126
91,-97,-131
82,-104,-124
79,-99,-121
88,-104,-124
91,-105,-123
94,-102,-132
87,-109,-127
82,-102,-120
85,-103,-125
85,-101,-129
88,-108,-122
86,-108,-124
90,-104,-122
87,-97,-125
80,-96,-122
93,-97,-121
90,-98,-128
92,-106,-124
88,-98,-132
84,-102,-132
85,-103,-121
92,-100,-124
83,-97,-123
90,-100,-126
91,-105,-123
94,-106,-124
92,-108,-120
89,-101,-121
85,-99,-118
85,-99,-125
91,-105,-121
84,-102,-112
88,-103,-129
93,-95,-124
90,-102,-120
93,-103,-123
87,-103,-123
82,-104,-126
83,-101,-126
93,-107,-121
95,-105,-119
93,-103,-129
90,-96,-128
88,-98,-129
91,-103,-123
84,-98,-126
88,-92,-128
85,-101,-123
88,-104,-130
84,-100,-120
96,-104,-118
80,-106,-124
81,-105,-123
91,-105,-123
91,-101,-123
90,-102,-124
91,-105,-129
85,-103,-133
90,-100,-120
87,-103,-131
82,-110,-120
86,-96,-122
84,-96,-124
92,-114,-124
90,-108,-125
95,-93,-125
89,-103,-129
90,-100,-120
91,-101,-123
90,-110,-130
86,-102,-124
84,-100,-128
82,-96,-126
90,-98,-124
85,-95,-127
89,-103,-123
92,-94,-126
77,-105,-123
84,-110,-126
84,-102,-126
92,-96,-132
90,-98,-124
84,-96,-126
87,-99,-127
86,-110,-130
87,-105,-127
84,-108,-128
85,-109,-127
90,-108,-134
94,-98,-130
84,-100,-125
83,-103,-125
92,-100,-126
90,-102,-120
82,-108,-128
92,-102,-124
86,-100,-120
85,-107,-129
92,-106,-126
90,-99,-125
94,-106,-124
88,-104,-128
87,-103,-121
84,-104,-122
89,-105,-123
91,-99,-123
92,-108,-120
91,-103,-125
